Date,Open,High,Low,Close,Adj Close,Volume
1/4/20,36.86000061,38.70000076,36.34000015,37.52999878,31.70002556,36045900
2/4/20,38.74000168,41.95999908,37.90000153,40.40000153,34.12419128,62000200
3/4/20,41.45000076,42.18000031,38.52000046,39.20999908,33.11904526,48425700
6/4/20,39.88000107,40.83000183,39.22999954,40.47000122,34.18332291,41301900
7/4/20,42.90000153,43.31999969,41.15999985,41.24000168,34.83371353,48921800
8/4/20,41.95000076,44.04000092,41.47000122,43.84999847,37.03826904,33355600
9/4/20,45.45999908,46.70999908,41.74000168,43.13000107,36.43011093,60107300
13/4/20,44.45000076,44.68999863,41.97000122,42.75999832,36.11758423,29651900
14/4/20,43,43.75,41.90999985,42.43000031,35.83884811,30769000
15/4/20,41,41.06000137,39.38000107,40.47999954,34.19177246,33125000
16/4/20,40.47999954,40.47999954,38.93000031,39.15000153,33.068367,30934000
17/4/20,39.88000107,43.31999969,39.86999893,43.22000122,36.50613022,40829100
20/4/20,40.75,42.74000168,40.54000092,41.18000031,34.78303146,39260800
21/4/20,40.40000153,42.13000107,39.63000107,40.95999908,34.59719849,44381600
22/4/20,42.59999847,42.93000031,41.86000061,42.13000107,35.58545685,27074200
23/4/20,43.13000107,44.65999985,42.81000137,43.45000076,36.70040512,35271000
24/4/20,44.40000153,44.88999939,43.13000107,43.72999954,36.93690872,28653800
27/4/20,43.59000015,44.31999969,42.22999954,43.93999863,37.11428452,28274400
28/4/20,44.36999893,45.38999939,44.11000061,44.97000122,37.98428726,26545100
29/4/20,46.25999832,47.59999847,46.15999985,47.45999908,40.08748245,29502500
30/4/20,47.68000031,47.68000031,45.77000046,46.47000122,39.25126648,37076300
1/5/20,45.63000107,46.38999939,43,43.13999939,36.43855667,35399300
4/5/20,42.50999832,44.93999863,42.22000122,44.88000107,37.90826035,27465600
5/5/20,46.25999832,47.15000153,44.65999985,44.83000183,37.86603546,29276200
6/5/20,44.93000031,45.27000046,43.90000153,43.99000168,37.15652466,22659000
7/5/20,44.95999908,45.27000046,43.97000122,44.24000168,37.36768341,22160300
8/5/20,45.31000137,46.22000122,44.97999954,46.18000031,39.00632095,19977400
11/5/20,46.11000061,46.20000076,45.50999832,45.74000168,38.63467407,22258000
12/5/20,45.41999817,45.66999817,44.11999893,44.11999893,37.98888779,25439100
13/5/20,43.74000168,43.86999893,41.59999847,41.93000031,36.10322571,30827900
14/5/20,41.06999969,42.54999924,40.20000076,42.29999924,36.42180634,24856500
15/5/20,42.38000107,43.00999832,41.84999847,42,36.16350174,22445600
18/5/20,44.40000153,45.58000183,44.06000137,45.34000015,39.03935623,32026100
19/5/20,45.54999924,46.63000107,43.93000031,43.93999863,37.83390427,21771600
20/5/20,44.61999893,45.58000183,44.56999969,45.36999893,39.06518555,19352400
21/5/20,45.43999863,45.79000092,44.38999939,44.56000137,38.36774826,19130700
22/5/20,44.04999924,44.66999817,43.45000076,44.59999847,38.40219116,15406400
